,,,Where was the study conducted/cohort recruited?,,,,,,,,,When was the study conducted and reported?,,,
X,A0_S,A0_C,B0_country,#siteLocation,B1_siteCat,B1_setting,B0_region,B0_income,B2_endem,B2_species1,B2_species2,B3_studyStart,B4_studyEnd,B5_reportDate,B5_reportMeans
X06320,S632,S632C1,Zimbabwe,"4 primary and secondary schools in Mashonaland East Province (31.30 E, 17.45 S)",school,rural,Eastern Africa,low,5,haematobium,mansoni [absent],unknown,unknown,17/11/2008,journal article
X06550,S655,S655C1,Malawi,"Kamuzu Central Hospital (outpatients), Lilongwe",hospital/health-centre,semi-urban,Eastern Africa,low,0,haematobium,mansoni,unknown,unknown,20/03/2007,journal article
X06890,S689,S689C1,China,"11 villages: Biaoen and Changshan, Poyang County of Jiangxi Province; Nandi and Chehun, Hanshou County of Hunan Province; Gudi and Fanhu, Jiangling County of Hubei Province; Tanzhu and Sanguan, Dantu District of Jiangsu Province; Tanzhu and Sanguan, Dantu District of Jiangsu Province; Shujie, Gumudi and Duma, Weishan County of Yunnan Province",other,rural,Eastern Asia,upper middle,3,japonicum,N/A,15/11/2004,15/03/2005,2/9/2010,journal article
X06990,S699,S699C1,China,"3 communities: Dongxie, Xixie, and Chuankuijia, in Zhaoyang village, Nanji Township, Xinjian County, Jiangxi Province",other,rural,Eastern Asia,upper middle,2,japonicum,N/A,25/06/2007,10/8/2007,15/06/2010,journal article
X07490,S749,S749C1,Philippines,"3 villages: Macanip, Buri, and Pitogo, Leyte island",other,rural,South-Eastern Asia,lower middle,6,japonicum,N/A,15/10/2002,15/04/2003,15/01/2006,journal article
X07580,S758,S758C1,Uganda,"4 villages around Lake Albert, Buliisa District and Lake Victoria, Mayuge District",other,rural,Eastern Africa,low,1,mansoni,N/A,15/01/2009,15/02/2009,15/06/2010,journal article
X07720,S772,S772C1,Uganda,"3 primary schools: Bugoto Lake View (LV), Bwondha, and Musubi Church of God (CoG) schools, Mayuge",school,rural,Eastern Africa,low,2,mansoni,N/A,15/02/2005,15/08/2005,15/12/2010,journal article
X08120,S812,S812C1,Zimbabwe,school in Chiredzi,school,semi-urban,Eastern Africa,low,6,mansoni,haematobium,15/03/2002,15/09/2004,15/12/2009,journal article
X08200,S820,S820C1,Togo,"11 primary schools in Sokode town surroundings, Tchaoudjo prefecture, central region",school,urban,Western Africa,low,4,haematobium,mansoni,unknown,unknown,24/04/2009,journal article
X08280,S828,S828C1,Kenya,"1 community of workers in Kisumu, Lake Victoria shores",other,urban,Eastern Africa,low,-9,mansoni,haematobium [rare],15/06/1995,15/12/2007,14/02/2009,journal article
X08430,S843,S843C1,Uganda,"1 community of workers in Bugoigo, Lake Albert, Buliisa District",other,rural,Eastern Africa,low,8,mansoni,N/A,unknown,unknown,29/11/2007,journal article
X08620,S862,S862C1,Kenya,"5 primary schools in Mwea Division of Kirinyaga District, Central Province",school,rural,Eastern Africa,low,4,mansoni,N/A,unknown,unknown,1/5/2007,journal article
X09310,S931,S931C1,Nigeria,"primary school in Adim village, Biase Local Government Area, Cross River State",school,rural,Western Africa,lower middle,2,haematobium,N/A,15/10/2001,15/08/2002,15/07/2004,journal article
X09350,S935,S935C1,Niger,"5 villages: Kollo-Kourteye, Kollo-Zarma, Kollo-Zongo, Ibba and Kollo-Peul villages, Seberi area",other,rural,Western Africa,low,6,haematobium,N/A,15/11/1999,15/09/2000,15/02/2004,journal article
X09720,S972,S972C1,Zimbabwe,school in Chiredzi,school,semi-urban,Eastern Africa,low,7,haematobium,mansoni,unknown,unknown,15/09/2002,journal article
X09880,S988,S988C1,Zimbabwe,pre-school centres in Madziwa area,other,rural,Eastern Africa,low,6,haematobium,mansoni [partial data],unknown,unknown,25/08/2001,journal article
X10490,S1049,S1049C1,China,"5 villages on Qingshan and Niangashan islands, Dongting Lake, Hunan Province",other,rural,Eastern Asia,upper middle,2,japonicum,N/A,15/03/1996,15/06/2001,15/07/2002,journal article
X10530,S1053,S1053C1,China,"Nanti and Chefen villages in Hanshou
County, and Taipingqiao and Xiangtang villages in Hetang District, Zhuzhou City; all 4 villages in Hunan Province, Dongting Lake region",other,rural,Eastern Asia,upper middle,1,japonicum,N/A,15/11/1999,15/04/2000,15/09/2001,journal article
X10590,S1059,S1059C1,China,"4 villages: Nandi and Chehun in Hanshou County, Hunan Province, Dongting Lake; Chanshan and Biaoen in Baoyuan County, Jiangxi Province, Baoyuan Lake",other,rural,Eastern Asia,upper middle,1,japonicum,N/A,15/11/1999,15/03/2000,15/09/2001,journal article
X10591,S1059,S1059C2,China,"2 villages: Gudi and Fanhu, Jiangling County, Hubei Province, Yangtze River",other,rural,Eastern Asia,upper middle,2,japonicum,N/A,15/11/1999,15/03/2000,15/09/2001,journal article
X10760,S1076,S1076C1,Egypt,"5 villages: Kafr Hussein, Meet El-Bez, Menyat El-Mobashreen, Kafr El-Arab and Ezbet Eweis, in Zefta District, Garbha Governorate",other,rural,Northern Africa,lower middle,1,mansoni,N/A,unknown,unknown,18/03/2005,journal article
X10840,S1084,S1084C1,Uganda,"community of workers in Bugoigo, Lake Albert, Buliisa District",other,rural,Eastern Africa,low,-9,mansoni,N/A,unknown,unknown,21/04/2004,journal article
X10970,S1097,S1097C1,Uganda,"community of workers in Bugoigo, Lake Albert, Buliisa District",other,rural,Eastern Africa,low,-9,mansoni,N/A,unknown,unknown,15/07/2004,journal article
X11090,S1109,S1109C1,Cote d'Ivoire,primary schools in Agboville,school,rural,Western Africa,lower middle,1,mansoni,N/A,15/02/2001,15/06/2001,15/07/2004,journal article
X11220,S1122,S1122C1,Zimbabwe,school in Chiredzi,school,semi-urban,Eastern Africa,low,-9,mansoni,haematobium,unknown,unknown,24/02/2003,journal article
X11700,S1170,S1170C1,Egypt,Abis 4 village,other,semi-urban,Northern Africa,lower middle,2,mansoni,N/A,unknown,unknown,15/01/2002,journal article
